song_name,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,polarity
3 Doors Down - Here Without You.mp3,0.2890811860561371,0.16075347363948822,1875.8729186154042,2086.083922044195,3839.0962299547696,0.0801035720620485,-120.54586029052734,116.14625549316406,-16.438173294067383,19.85692024230957,8.485701560974121,2.506659507751465,-3.1660449504852295,8.248992919921875,-4.593846797943115,3.2458741664886475,-7.299799919128418,-3.4641029834747314,-4.438721656799316,-2.127835988998413,-4.15879487991333,2.548140048980713,-8.9469575881958,2.3835935592651367,-10.388559341430664,-5.97507381439209,1
Adam Lambert - Whataya Want from Me.mp3,0.3557497560977936,0.22118346393108368,2530.576766546724,2542.919690282649,5433.608810377564,0.10671981323368163,-65.25492858886719,77.53266906738281,-2.125922918319702,21.865522384643555,4.198351860046387,7.828146934509277,-0.8588908910751343,7.609435558319092,-3.958881139755249,9.97832202911377,-3.432102680206299,3.356046676635742,-0.5559682250022888,2.435497283935547,-1.8829575777053833,-0.0760314092040062,-3.7912771701812744,2.6996347904205322,-1.6524893045425415,3.9400064945220947,1
Adele - Easy On Me.mp3,0.26232707500457764,0.1815800964832306,1918.3227823594643,2243.5063405013743,4388.587351701577,0.06973679171504128,-158.69879150390625,119.30951690673828,24.31985855102539,4.387903690338135,8.045564651489258,0.7228696346282959,-0.6300697326660156,-0.42730051279067993,-7.314074516296387,0.09721904993057251,-3.5549893379211426,2.8458151817321777,-3.271787166595459,-3.322470188140869,0.6018706560134888,-6.692018032073975,-1.5989502668380737,7.785902976989746,-1.5888147354125977,10.148050308227539,1
Adele - Make You Feel My Love.mp3,0.29212310910224915,0.11628436297178268,1064.064224939067,1427.8858378366226,1986.14354561726,0.046678604110229616,-222.51791381835938,161.6737823486328,2.6921160221099854,18.453975677490234,15.061803817749023,4.1418046951293945,7.677795886993408,3.3588380813598633,-1.729401707649231,3.4279232025146484,-3.5678787231445312,3.343679904937744,-6.928495407104492,1.5091241598129272,-4.121448516845703,-11.29983901977539,-4.258877277374268,-2.200528144836426,-4.374410629272461,-1.815165638923645,1
"Alan Walker, Ava Max - Alone, Pt. II.mp3",0.3389008939266205,0.23140181601047516,2337.9686673394126,2517.6504563733183,4869.673331529363,0.10297859121033281,-78.25149536132812,95.48969268798828,-13.360953330993652,18.66407585144043,5.021565914154053,-5.919395923614502,9.094955444335938,-14.101452827453613,6.2285943031311035,2.1703379154205322,-5.7689008712768555,2.130659818649292,-7.129214763641357,1.6559854745864868,-6.318649768829346,1.4802178144454956,-0.576924741268158,5.278684616088867,-3.9260685443878174,6.590694904327393,0
Alicia Keys - Empire State of Mind (Part II) Broken Down.mp3,0.25490620732307434,0.1160757839679718,1740.5369480743827,1978.4600591271962,3350.060298199255,0.0815512831366099,-174.9359893798828,125.3041000366211,-0.986402690410614,17.363203048706055,-0.870638370513916,-7.956416606903076,3.53075909614563,-8.707060813903809,-13.162582397460938,6.670499801635742,-10.974553108215332,-3.325788736343384,-11.05705738067627,-3.395326852798462,-5.322895526885986,2.13907527923584,-2.701035737991333,-1.3633910417556763,-8.343043327331543,2.081645965576172,1
Alicia Keys - Girl on Fire.mp3,0.3140283226966858,0.1954888254404068,1907.8573172225072,2082.0652335353034,3775.3799485717395,0.08906963021639577,-113.2419662475586,110.3017578125,-17.371444702148438,17.72447395324707,6.490869522094727,-3.807487726211548,2.8897855281829834,1.1756316423416138,-9.735310554504395,9.70059871673584,-13.970858573913574,-0.9836992621421814,-5.231868267059326,-1.4838335514068604,-2.19734263420105,2.24483323097229,-2.3145503997802734,2.1810872554779053,-2.925055980682373,1.5330899953842163,0
Alicia Keys - No One.mp3,0.3766109347343445,0.29326486587524414,1973.9917490972855,2446.9252780316447,4441.609253307614,0.06184845443111455,-94.27994537353516,89.44420623779297,5.675394535064697,23.587156295776367,2.531873941421509,9.004365921020508,8.162059783935547,8.672653198242188,-0.3049103617668152,16.93956756591797,-2.3448939323425293,6.826972961425781,2.3381431102752686,8.274399757385254,5.67703104019165,11.773408889770508,11.239141464233398,10.518068313598633,6.75664758682251,8.264083862304688,1
Amy Winehouse - Rehab.mp3,0.39940398931503296,0.31745776534080505,2131.755894723186,2257.2985962846656,4536.733678103232,0.09138896615389577,-18.940462112426758,98.79368591308594,-8.379047393798828,31.57467269897461,-2.9165847301483154,16.811609268188477,-5.076968193054199,8.442620277404785,-2.076261043548584,9.939912796020508,-5.512689113616943,7.625293731689453,-4.093364715576172,1.0253238677978516,-2.254976511001587,0.47561290860176086,-4.031368732452393,1.1600961685180664,-5.684150218963623,-2.3722403049468994,0
Ariana Grande - 7 rings.mp3,0.3114018142223358,0.16791483759880066,2104.1625558580977,2388.1656993656075,4530.014274290103,0.07960357508546181,-174.78396606445312,92.38601684570312,23.23912811279297,15.091900825500488,4.740602016448975,-3.7654027938842773,4.474553108215332,-12.32872486114502,1.6784638166427612,-2.7536215782165527,-11.559220314025879,1.9527286291122437,-6.530011177062988,-0.05646488815546036,-7.573180675506592,-1.5533726215362549,-3.885031223297119,-0.24712444841861725,-2.4437358379364014,1.8320260047912598,1
"Ariana Grande - break up with your girlfriend, i'm bored.mp3",0.46787548065185547,0.3102823495864868,2599.488567611602,2798.265342124961,5659.75188736576,0.07795392519672342,-102.47360229492188,68.50146484375,35.80967712402344,32.418067932128906,13.141582489013672,11.656285285949707,3.9304559230804443,3.2326900959014893,7.252513408660889,7.96779727935791,-6.885345935821533,8.101594924926758,1.3782414197921753,7.194892406463623,2.3343899250030518,6.585961818695068,1.5199204683303833,6.556202411651611,5.234599590301514,10.877615928649902,1
Ariana Grande - positions.mp3,0.3351394832134247,0.28804701566696167,3101.2687917582675,3057.4048598573913,6938.766375562355,0.1186127874258256,-51.81737518310547,60.507381439208984,21.39144515991211,19.26801109313965,7.709944725036621,2.802716016769409,0.8254680633544922,-3.4344003200531006,4.778872966766357,2.1546471118927,-12.68080997467041,1.7243036031723022,-3.098832368850708,-3.028531312942505,-0.7275826930999756,2.8095366954803467,3.992826461791992,8.78824520111084,6.2031755447387695,7.551574230194092,1
"Ariana Grande, Justin Bieber - Stuck with U (with Justin Bieber).mp3",0.35689017176628113,0.1770196557044983,2390.531322036726,2563.9594019679116,5203.6185344306305,0.09526787945852683,-129.29600524902344,88.49311828613281,2.2633512020111084,21.299468994140625,11.762459754943848,3.4820988178253174,9.161332130432129,-0.3982126712799072,3.348896026611328,4.776107311248779,-15.640342712402344,-0.1843191534280777,-8.929987907409668,-0.9361998438835144,-3.548043966293335,-0.7150036096572876,-4.72415018081665,-2.164314031600952,-4.174127101898193,-0.8760654926300049,0
"ATB, Topic, A7S - Your Love (9PM).mp3",0.3875128924846649,0.30219724774360657,1962.141244504299,2288.4934300190735,4415.689965593557,0.06759205789634933,-60.49045181274414,114.49262237548828,8.364320755004883,20.127094268798828,8.397024154663086,6.43820858001709,-3.367424726486206,3.1433053016662598,-5.246491432189941,2.075103282928467,-4.742186546325684,2.6351375579833984,-0.8073964715003967,3.031511068344116,0.9335717558860779,8.463896751403809,-2.0098214149475098,0.33094102144241333,0.9012802243232727,0.9875539541244507,1
Ava Max - Kings & Queens.mp3,0.4260958433151245,0.3245639503002167,2860.723202446408,2936.233174191839,6282.173123669698,0.10854784450786893,-19.247968673706055,75.15934753417969,6.519308567047119,22.487817764282227,8.56908130645752,-1.365636944770813,16.363445281982422,-5.466272354125977,9.736031532287598,7.244174957275391,-0.516627311706543,8.675238609313965,-3.355928421020508,4.98582124710083,-1.7738404273986816,4.176121711730957,1.4021998643875122,8.312555313110352,-2.729027032852173,8.54622745513916,0
Ava Max - Salt.mp3,0.3555007576942444,0.315862238407135,2548.044973111729,2685.8448234016337,5558.160835006289,0.10718365522607069,-27.436965942382812,88.85706329345703,2.8698229789733887,17.519142150878906,4.5770649909973145,6.436417102813721,11.470358848571777,-4.8870954513549805,0.8034511804580688,1.5498021841049194,-8.130228996276855,-2.0912394523620605,-5.2466206550598145,-0.001021913718432188,-4.578948974609375,2.7616963386535645,0.82445228099823,6.090175628662109,-1.1655579805374146,3.7831339836120605,0
Avicii - Hey Brother.mp3,0.35424649715423584,0.24020512402057648,2233.5169992707824,2339.5611480136718,4758.746224512626,0.10085703689370486,-52.374351501464844,91.43070220947266,-1.9595266580581665,31.60452651977539,-0.3004811704158783,14.41170883178711,-6.593602657318115,3.6768336296081543,-10.154084205627441,-2.4653239250183105,-3.471843957901001,2.429461717605591,-8.094154357910156,-0.8937100172042847,-7.256463050842285,3.693664789199829,-5.785022735595703,0.05608721449971199,-5.25515604019165,-4.743863105773926,0
Avicii - Levels - Radio Edit.mp3,0.3682875633239746,0.22129260003566742,2979.5034147273896,2732.5594310578153,6210.765222130176,0.13678337545955882,-27.469310760498047,64.88085174560547,-3.4183738231658936,17.668901443481445,-8.591023445129395,3.7919938564300537,-5.720608711242676,3.8656375408172607,-4.734438419342041,4.8459553718566895,-3.5536816120147705,5.412323474884033,-2.4386656284332275,0.013919669203460217,-7.87875509262085,-2.0486412048339844,-5.769608020782471,2.2868235111236572,-1.9411873817443848,3.1236767768859863,1
"BENEE, Gus Dapperton - Supalonely (feat. Gus Dapperton).mp3",0.32956379652023315,0.25044041872024536,2020.6760757854972,2379.3845149261183,4240.03269443571,0.07500256990131579,-112.0341796875,104.0460205078125,14.099750518798828,17.425405502319336,4.703276634216309,-8.06343936920166,-6.8638458251953125,-7.6602630615234375,-5.3556928634643555,-1.7704910039901733,-3.7248764038085938,-0.4122985899448395,-4.348823070526123,5.329833030700684,-1.7901440858840942,1.9300576448440552,-2.9092721939086914,4.06519079208374,-2.14058518409729,1.5982779264450073,0
Beyoncé - Irreplaceable.mp3,0.4431401789188385,0.23613260686397552,3125.474090893457,2923.6786067834432,6589.015712678986,0.14184179788280443,-62.49429702758789,52.44850540161133,10.593806266784668,27.051982879638672,10.173301696777344,12.36284351348877,10.982548713684082,2.8998212814331055,4.922111988067627,9.17056655883789,-4.0775227546691895,9.666671752929688,-2.09975528717041,2.3376612663269043,-6.2254319190979,-0.4902138411998749,-0.6113283038139343,4.107450485229492,-0.09192652255296707,7.019262313842773,0
Beyoncé - Single Ladies (Put a Ring on It).mp3,0.45007896423339844,0.243046373128891,2570.9628780554335,2542.381500048823,5342.031586354731,0.10962884074271156,-56.30630874633789,66.1458740234375,-14.460421562194824,26.116905212402344,5.200899600982666,8.050787925720215,8.076539993286133,10.592361450195312,3.518808603286743,12.865060806274414,1.0730851888656616,10.414437294006348,0.325050950050354,6.57148551940918,2.1817758083343506,5.875604629516602,1.4141883850097656,11.2848482131958,3.681473731994629,9.90095329284668,1
Billie Eilish - Happier Than Ever - Edit.mp3,0.37997061014175415,0.2905433475971222,1975.2487392947237,2334.0765560990126,4276.193586886851,0.07033278206430599,-60.4248046875,99.86412048339844,3.0786938667297363,35.35356140136719,5.813771724700928,10.394601821899414,6.1809773445129395,3.2656357288360596,5.963577747344971,5.013122081756592,-2.9550588130950928,4.653275012969971,-3.9674179553985596,5.4361348152160645,-4.357061862945557,-1.0511665344238281,-3.2757740020751953,0.276197612285614,-2.502440929412842,6.167956829071045,0
Britney Spears - ...Baby One More Time.mp3,0.3937496244907379,0.16680656373500824,2750.784651547132,2590.257310894981,5603.630004504886,0.14481406512029155,-76.49263000488281,76.25580596923828,-2.1393935680389404,17.059139251708984,-3.1926045417785645,8.913471221923828,-2.688401937484741,-0.7322155237197876,-1.5287054777145386,4.040964126586914,-7.504079818725586,2.882633924484253,-3.6538188457489014,-1.0639714002609253,-4.124088287353516,-1.6454769372940063,-3.681259870529175,1.8665297031402588,-2.2555315494537354,1.779177188873291,0
Britney Spears - Womanizer.mp3,0.4342643618583679,0.24432246387004852,2645.048994540032,2789.75719194198,5884.733860263884,0.0971338293746775,-49.1986198425293,82.90300750732422,7.024440288543701,13.462244033813477,4.840817451477051,13.0287446975708,4.547910213470459,3.4942872524261475,3.058825731277466,9.122145652770996,-2.848970651626587,5.931003570556641,-0.19808629155158997,6.899537086486816,-0.859288215637207,3.6877212524414062,-1.3361222743988037,3.923128366470337,0.6183541417121887,4.580226421356201,0
Bruno Mars - Locked out of Heaven.mp3,0.364178866147995,0.2913731634616852,2245.1726319249833,2431.648371507809,4803.715397034636,0.09564379051373839,-45.75590896606445,93.2339096069336,-0.2664182782173157,26.151561737060547,2.1711361408233643,13.525205612182617,0.4444766342639923,7.595786094665527,7.894303321838379,9.866852760314941,2.1705281734466553,6.547406196594238,-2.753532648086548,0.426401287317276,0.8159458637237549,4.815432071685791,0.7980779409408569,2.8216991424560547,-4.19209098815918,3.530406951904297,1
"Bruno Mars, Anderson .Paak, Silk Sonic - Leave The Door Open.mp3",0.3621658980846405,0.15446694195270538,2350.9203179576766,2429.602892059767,4895.687063116777,0.10558338775477297,-84.60028076171875,94.44944763183594,-7.6518120765686035,19.35679817199707,-1.6359859704971313,6.183925151824951,-3.0576632022857666,5.506194591522217,-0.3976125419139862,5.531095027923584,-6.143733024597168,3.404050827026367,-6.536745071411133,3.9252007007598877,-2.9083096981048584,3.253272771835327,-3.502169609069824,0.5021851658821106,-7.39913272857666,2.142580509185791,1
"BTS, Megan Thee Stallion - Butter (Megan Thee Stallion Remix).mp3",0.4267677366733551,0.26127803325653076,2802.886849852049,2777.1753843490947,6161.673852312307,0.12182277053502322,-62.540950775146484,64.82169342041016,7.143268585205078,20.510833740234375,6.031667232513428,9.976808547973633,1.0018384456634521,10.583968162536621,2.1134226322174072,10.259699821472168,-3.104238986968994,3.6607792377471924,-3.083745002746582,5.574999809265137,-1.4556456804275513,2.7953426837921143,-2.8326570987701416,4.012760162353516,-2.8548080921173096,4.857949733734131,0
Calvin Harris - My Way.mp3,0.42044684290885925,0.3076498210430145,2153.1671490082012,2430.8864666902855,4668.024550871953,0.0791014365244453,-23.396697998046875,105.94242095947266,-1.476517677307129,14.40166187286377,7.717041969299316,10.621980667114258,2.327005386352539,6.124918460845947,2.411137819290161,5.9287190437316895,2.374584674835205,7.910337448120117,-4.316452980041504,3.9668092727661133,-4.606921672821045,5.126070499420166,-1.1018989086151123,5.572733402252197,2.574929714202881,6.439871311187744,0
